日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報
2017/04/28 14:04:03,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:05:36,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:06:07,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:07:04,58C232FFFE576733,ﾐﾆFA-ﾊﾟﾈﾙﾍﾞﾝﾀﾞIN,0,1,0,9,1
2017/04/28 14:07:51,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:08:16,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:09:49,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:11:45,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:11:52,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:12:05,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 14:16:10,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 14:16:33,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 14:16:33,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:16:49,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:16:57,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:17:10,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 14:18:30,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:18:37,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:19:24,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 14:20:19,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:20:24,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:20:30,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:21:15,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,0
2017/04/28 14:21:15,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:21:45,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,0,0,0
2017/04/28 14:23:02,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:23:06,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:25:10,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:25:17,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:27:01,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:27:06,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:28:07,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:28:16,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:29:13,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:29:19,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:31:59,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:32:02,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:34:48,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:34:53,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:37:11,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:37:18,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:38:48,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:39:07,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,1
2017/04/28 14:43:52,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,1,0,9,1
2017/04/28 14:44:27,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,1,1,9,1
2017/04/28 14:44:27,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,1
2017/04/28 14:44:29,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,0
2017/04/28 14:45:53,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:47:41,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:47:52,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:48:34,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:48:39,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:51:04,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 15:00:37,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 15:02:58,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
